text,is_hate,source
"Deus=Homem/Mulher , diabo=LGBTSAMSUNGAZ",1,original
Tu me poupe eu sou é sapato 👞 ao kkkkkk,0,original
🙄🙄,1,original
"É cada uma, pqp Kkkkkkkkkkkkkkkkkk",1,original
😂😂😂 só me resta sorrir mesmo. É cada monte de fezes que aparece 💩,1,original
"Kkkkk isso não existe! Parem de querer criar algo e impor essas besteiras! Plmds até quando gente, Boyceta? O que é isso? Bateu a cabeça forte né",1,original
Paciente mais fraca do CAPS,1,original
Isso e doença 🤣🤣🤣🤣🤣🤣,1,original
Kkkkkkkkkkkkkkkkkkk manooooo,1,original
"Tá certinho, errado foi psiquiatra em ter dado alta 🙌",1,original
Meu Deus o mundo realmente tá perdido. Pai tenha misericórdia.,1,original
"E pra dar nó na mente isso ,e só sei de uma coisa ,Deus deixou o macho e a fêmea , pra gerar filho e Perpétua a espécie, o resto não entra na minha mente",1,original
"Chupeta, carreta,catreta etc .... Boyceta e meus ovos kkkkk",1,original
É sério isso 😂😂😂😂não só pode ser uma pegadinha 😂😂😂preciso ir no psicólogo agora.,1,original
Kkkkk e foda Deus criou o homem e a mulher ponto final não estou aqui bancando o crente não Deus fez o macho e a fêmea agora bem o diabo botando vários tipos de gêneros que o próprio ser humano vem criando ultimamente conhecereis a verdade e a verdade vós libertara,1,original
"KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK

Ah cara, as vezes a gente tenta evitar processo , mas aí aparece umas coisas dessas 😭😭",1,original
Ainda bem que ja esta perto da volta de Jesus,1,original
"Sou gay, e sinto vergonha de ouvir isso! Cada vez mais A MAIORIA da comunidade LGBT+(abecedário todo) passando vergonha.",1,original
Vergonha pra comunidade L.G.B.T,1,original
Kakakakakkakaka que d00ida,1,original
"Para nós que somos trans real.  Isso não representa,  é uma palhaçada isso sim. Por esses motivos que somos sempre chacota na sociedade!. Posso falar com propriedade. Está tudo precisando de tratamento intensivo com psiquiatra.",1,original
"Que mico, misericórdia KAKAKAKAKAKAKKAKAKAKAK",1,original
Boiceta kkkkkk,1,original
É nessas horas q sou a favor do aborto! Kkkkkkkkkkkkk,1,original
Que merda em,1,original
Eu vejo esses vídeos e me sinto uma conservador de direita automaticamente. Jesusssssaaa,1,original
Nem ela ou ele sei lá .. sabe oq é se tá doido onde vamos parar....😢😢😢😮😮,1,original
"cada dia eles e elas inventam um nome diferente, daqui a pouco devem aparecer os CÚceta",1,original
Palhaçada,1,original
"Eu acho q vcs estão super certos , errado foi o psiquiatra que deu alta.",1,original
Kkkkkkk Jesus Precisa Voltar ◀️ Que Diacho de Ser Humano,1,original
Eu sou gay… é cada dia inventa uma palhaçada diferente… por isso nunca vamos ser levados a sério.,1,original
Q perturbação 🙄😏😏,1,original
É só uma lésbica com esquizofrenia.,1,original
Que merda...nem vc sabe o que vc é...sabe oq vcs tinham q entendem? Nao tamo nem ai pra que porra vcs sao...so nao gostamos qnd vcs tentam esfregar na nossa cara  o q vcs sao ou deixam de ser...,1,original
Como é bom ser esquizofrênico. Kkkkk,1,original
Kkkkkkk cadê a guerra nucl@ar e o meteoro? Vários multiversos kkkk,1,original
iiiiiiiiiiiiiiiiiiiirhuuuuuuuuu kkkkk,1,original
VEM METEORO,1,original
"Minha querida você precisa é de Jesus na sua vida! Meu Deus do céu,o mundo tá perdido.",1,original
Kkkkkkk,1,original
Pqp que coisa ridícula kkkkkkkkk,1,original
Kkkkkkkkkkk🤣🤣🤣🤣🤣,1,original
"Meu Deus... que medo dessa geração tão afetada por doenças mascaradas por """"""liberdade"""""".",1,original
Q porra é essa kkkkkkkkkkk,1,original
Não tinhe que ser boycete kkkkkkkk,1,original
Palhaçada,1,original
Ela... ele..sei lá. Inventou td esse blá blá blá na hr ou foi já de roteiro 😂😂😂😂. PQP quanto merda falada!!! Acho que nem ele..ela sei lá entendeu 😂😂😂,1,original
Mistura de boi com capeta 😂,1,original
Que bagulho louco mano!,1,original
"Gente mais essa boyceta kkkkkkkk
Jesus Cristo deve estar olhando e dizendo que m&rda que eu fiz 🤦🏻‍♀️",1,original
"Tudo era mais simples quando existia o gay e a lésbica. Do nada, moto foi inventado umas paradas sem lógica, uma gambiarra mais estranha que a outra pra classificar uma coisa tão simples que é a homossexualidade. Na cabeça de vcs isso está sendo uma evolução mas na verdade cada dia que passa as pessoas vêem vcs como piada. 90% do mundo vê vcs como loucos, como pessoas com problemas psiquiátricos ou psicológicos e cada dia que passa vcs dão margem para que continuemos a ver com esses olhos.",1,original
"A galera la atrás, bem de antigamente ficavam perplexos que existia gay e bi, se vissem como ta hoje, pediriam pra voltar pro caixão kkkkk",1,original
Nossa me despertou essa memória 😱😱😱 Também passei exatamente por isso,0,original
"miniiiiini, você deu nome e sobrenome da nossa história. Hahahaha já posso processar? Kkkk sdds Andrezinho, Julho estou no Brasil again",0,original
A descoberta da sexualidade é um período muito ingrato de nossas vidas pois carrega muitos tabus sociais e pessoais. Sozinhos com toda essa explosão de hormônios e dúvidas e sentimentos e sem alguém pra orientar... Foi barra pra mim tbm. O melhor é que isso passou e deixou essa lição: nós evoluímos e nos entendemos e aquilo tudo ficou como uma experiência de vida que nós trouxe até aqui. Obrigado por compartilhar.,0,original
"Meu Deus, isso é sério?",0,original
"Eu fico impressionado com a empáfia do Guilherme 😂. Nossa... ""Má que bostha""😂",0,original
Nossa! Foi perfeito!,0,original
Besteirol e fake News é com a gadaiada mesmo 😂,0,original
Gui cara de sério.  Meu Deus existe um ser assim? Pronto a vida já valeu a pena só de vê-lo.  E a muitos outros que teem generosidade e amor e honestidade de dividir e multiplicar o qu👏👏👏👏e sabe. Valeu ❤️❤️❤️,0,original
Assim falou o cara que só tem voz por cintavda Internet kkkkkk,1,original
🙄🙄🙄,0,original
Nossa eu adoroooo ele queria muito assistir uma aula dele!😍,0,original
"Adoroooo @rita_von_hunty! Vai pra escola agora! Kkkkk Às vezes imagino os trolls da internet em casa de aparelho, moletom e pedindo toddynho pra mãe. 😂 Não é correto estereotipar, mas é bom pra minha saúde mental.",0,original
Escreva isso na sua  Bio.... não espere.morrer...... não esqueça das Dorothys  tá?,0,original
"Nossa !!! Que definição ótima, achei estremamente didatica, maravilha 👏👏👏👏👏👏👏👏👏👏",0,original
Kkkkkkkkkk 👏👏👏👏👏 verdade,0,original
Kkkkkkkkkkkkkkkkkkkkkk,1,original
Ou seja quem descordam dele é isso kkkkkkk oh  egozinho inflado !!,0,original
Igual a senhora faz a anos 😂,0,original
"Basta ter boleto e não ter dinheiro pra pagar, certeza que a ansiedade bate na porta. Basta ter contas vencidas e salário atrasado, vontade de estudar, fazer faculdade, mas o salário é insuficiente, basta precisar de psicólogo e não ter dinheiro pra pagar. Percebe - se que precisamos trabalhar dobrado pra ter o mínimo de dinheiro pra ter o mínimo de vida decente e a busca por esse mínimo trás o máximo de ansiedade.",0,original
"Ouvindo e pensando, meu Deus, voz igual da Rita. O que uma barba não faz. Irreconhecível!",0,original
"Nossos bisavós, avós e talvez os pais de alguns, passaram por duas guerras mundiais, pos guerra, guerra fria.... e hoje o jovem quer ser deprimido. Hoje ao invés de ter que lutar para sobreviver ou alimentar nossa família, a gente pode fundar a Associação de Proteção das Borboletas do Afeganistão. Mas ao invés de esmerar o mundo,  o jovem egocentrico de hoje sofre pq não é aceitx. Quero dizer que nossa condição devida é muito melhor que das gerações anteriores. Graças a esse conforto a gente consegue, inclusive,  dar mais atenção a questão da saúde mental. A gente deveria reclamar menos e trabalhar mais (leia trabalhar como tomar ações,  não atividade laboral somente)",0,original
"O contexto da vida de cada paciente revela as origens dos sintomas histéricos e somatizações! No hospital ouvimos sofrimentos de quem ""se mata"" de trabalhar para alimentar uma família, etc! Trabalhos precarizados (sem férias, sem 13⁰, sem seguro desemprego, sem aceitar atestado médico!). Isto acontece dentro de hospitais contratados por vínculo político!!!",0,original
Sociedade médica da é sociedade controlada.,0,original
"Nossa, ✊ vc tem fibromialgia? Nossa nem parece ✊",0,original
"👏Boa! É isso! O rentismo vagabundo defenestra Humanos e legítima a miséria como caminho. Lamentável,mas foi direto na ferida. E os indicadores biomédicos que serão alterados na concentração de B12? Pois é, não há acasos sociais, nós fazemos nossa história.",0,original
"O povo aceitou o ""remedinho"" sem pestanejar, esquecendo que: De boas intenções o inferno tá cheio.",0,original
🤮,1,original
É mentira! Nenhuma geração será mais pobre que as do século 18 e dos séculos anteriores a isto. FAKE NEWS! Bora aplaudir ele é influencer de esquerda pode falar qualquer merda.,1,original
"Tenho 64 anos e participo de um grupo de mães, bem mais novas. Outras gerações.  Fico muito impressionada. Quase a totalidade delas vive a base de medicamentos. Acho muito triste.",0,original
"A falta de empregos, insegurança no emprego, tudo isso acaba com a saúde mental das pessoas…..",0,original
"É nada, isso é sequela do covid kkkkk",0,original
E tomando esse comprimidinho alimenta ainda mais a indústria da doença ao invés de atacar as raízes dos problemas.,0,original
Triste demais! Mas é isso. Consequência social afetando a saúde mental em massa!,0,original
"O lance eh a gnt nao vai mudar o mundo, entao eu nao vou morrer de depressao por ele. Vou tomar meu comprimidinho pra poder nao me matar",0,original
Triste realidade 😍,0,original
Palhaçada,1,original
"Vídeo nojento, o Mundo acabou e ninguem se deu conta, ta nojento já",1,original
Kkkkk😂😂😂😂,1,original
"É porque todEs é burrice mesmo e não está ligada só a inventar uma palavra, mas uma ideologia absurda de normalização de uma doença chamada ""disforia de gênero"".... 🤷🤷 Invente sua palavra mas não obriguem a concordarem com a ideologia dela.... Vocês são do mesmo grupinho que condenam a palavra ""caixa preta"",""buraco negro"".... Ora, também tem nos que condenamos a burrice de TodEs",1,original
Kkkkkkk os alunos dos trapalhões 😂😂😂😂😂😂😂😂😂 todos eu já assisti muito,1,original
"Não existe regra para palavras simples assim....Real = não sentido, lugar do ser. Isto é, o real atravessa nossa psique, mas não é inequivocamente formulado em palavras, é algo do mundo físico ou orgânico, no máximo o percebemos; não por acaso alguns autores aproximam este elemento ao id freudiano.
Imaginário = sentido, lugar do eu. Ou seja, o imaginário é o lugar do “eu”, não à toa associado muitas vezes ao ego da teoria de Freud. O imaginário é o lugar do sentido (um sentido) porque o “eu” se firma a partir do significado que atribui a si e a fatores externos, o lugar de suas ideias, crenças, defesas, resistências.
Simbólico = duplo sentido, lugar do sujeito (ou até mesmo: múltiplos sentidos). Isto é, o simbólico é o lugar do discurso e da formação do(s) sujeito(s). Então, demanda a interação entre psiques, no mundo social, pela linguagem e na linguagem. Até por haver a dimensão do social, há quem compare a dimensão lacaniana do simbólico ao superego de Freud.",0,original
"Falou pouco, mas bostejou muito😂",1,original
"Vc pode inventar a vontade. Será um retardado? Será, mas pode. Só não me obrigue a usar ou coloquem a força nos colégios. Use sua bizarrice pra vc",1,original
🤡,1,original
“Qual grupo pode inventar palavras e qual grupo pode morrer quando inventa?” Sempre a questão de quem manda? Quem estamos deixando que mande?,0,original
Quanta merda reunida. Afff,1,original
Meu amigo vc fala muita merda,1,original
"Joga um testezinho de testosterona aiiiii pra ver , uma uma reservista pra servir o exército como todo homem deve ter pra ver só kkkkkkkkkkkkkkk 😂😂😂😂😂",1,original
Bravo!!!!! E fica indignado quem não é capaz sequer de respeitar as regras mínimas de concordância...🙄AFF... Preguiça!,0,original
"Amo ele, mas ele fala tanto e fala certo que percebemos que o mundo em que vivemos é uma merda.",0,original
Foram dois idiomas nesse vídeo português e merda,1,original
Mas a fonética não pode morrer kkkkk é inventada com inteligência não pô ignorância desespero por aceitação kkkkkk,1,original
"Gente, é simples, tudo é inventado! “Ah, mas ninguém impôs nada a ninguém”, tenho certeza que os indígenas receberam numa boa o PROCESSO NATURAL DE APRENDER O PORTUGUÊS lá em 1500, nada foi imposto 😍 e de lá pra cá já mudou muito, e daqui pra frente vai mudar de novo, não tá no querer de vocês ser diferente viu kkkkk a linguagem e a história tá sempre mudando, boa sorte pra quem não gosta disso.",0,original
"SE UM PROFESSOR DISSER QUE TODOS PASSARAM NA PROVA, QUER DIZER QUE FORAM APENAS HOMENS QUE PASSARAM ?! AÍ JÁ É DOENÇA MENTAL.",1,original
"Voce pode ser gay, e se quiser voce pode até achar que é um avestruz. Ok. O que voce não pode ser é imbecil nem analfabeto. Palavras não são inventadas, elas seguem regras gramaticais fundamentais que vem da época do inicio da humanidade. Entao para de imbecilidade e querer inventar palhaçada de analfabeto. Vá estudar.",1,original
"toda palavra é inventada... mas todas têm uma etimologia... mas, diante de um mundo tristemente machista e violento a necessidade de afirmação nos obriga a fazer isso.",0,original
Quanto absurdo nesses comentários meu Deus do céu,0,original
A questão é não morrer ninguém. A questão é querer que todos falem o que uma minoria quer ao é demais,0,original
O latin que se vire.kkkkk,0,original
Falou Todes eu já sei que é retardado.,1,original
"Meu Deus é muita besteira , alguém que se ofende de ser chamado de todos , ou vocês , ou falar aquilo , acho que existem coisas muito mais importantes para se preocupar tendo em vista que esses pronomes estão se referindo aos SERES HUMANOS",1,original
Ridículo,1,original
"Tantas línguas esquecidas, enterradas. Eu acho que cada um fale do jeito que quiser e do jeito que lhe convém, até pq um dia nossa língua vai ser enterrada e esquecida ou vcs acham que não? Que o linguajar da gente é tão especial assim que vai perdurar por toda a eternidade? .  aí ai bando de v.",1,original
