text,avaliacao
"Pra quem não entendeu, elas estão falando de preconceito com bi. Como no meu caso, que me descobri tarde e uma das primeiras meninas que conversei no tender falou isso: se vc é bi, pq não se relaciona só com homens pq é muito mais fácil. E se vcs não percebem o tamanho do preconceito nesta fala, vcs precisam entender mais sobre sexualidade, porque não é possível. Já a minha esposa é lésbica e SEMPRE se relacionou com bi, por preferir mulheres femininas. Então, existe um abismo entre preferências e preconceitos, mas que poucos enxergam, infelizmente.",positivo
Não tive nenhum tipo de experiência boa com bissexuais.,odio
Eu quero,positivo
"Existe tbm gays que não se relacionam com homens bissexuais tbm! Já ouvi muito isso, sendo bissexual. E nem vamos falar das mulheres héteros 😂#taosso",positivo
Eu quero,positivo
As vezes o amor da vida dessa pessoa é uma Bi e ela nunca vai saber por puro preconceito,neutro
Quero!,positivo
"e segue adiante muitas das “lésbicas bifobicas” comprovando o que vocês falaram. aprendamos a interpretar melhor um diálogo, ninguém tá falando que ninguém tem direito de escolha e sim que isso ser algo fixo em si determinante para toda uma classe de pessoas parte de um tipo de preconceito.",positivo
Eu quero!,positivo
Eu quero,positivo
Há muita intolerância e fobia entre os próprios LGBT's infelizmente....,neutro
👏👏👏👏👏👏👏👏👏👏👏👏,positivo
"Meu Deus, nem elas se entendem! 😂😂😂😂😂😂😂😂😂😂",odio
"Eu perdi um amigo gay quando ele descobriu q sou bi😢 não tinha nenhuma chance de romance,  mas ele achou traição eu ter sido casada e quando fiquei solteira voltei a me relacionar com homens e mulheres.  Infelizmente discriminação existe em todo lugar",neutro
Uma otima colocaçao. O vale em si tem varios preconceitos,positivo
Eu quero,positivo
Eu quero!!!,positivo
SIM!,positivo
Importante demais 👏,positivo
Eu amo quando alguém tem coragem de apontar os preconceitos dentro do próprio vale 👏🏽 ser humano e suas incoerências,positivo
"Normal, o ser humano busca padrões, é uma questão de sobrevivência.",neutro
Isso acaba acontecendo pelo tanto que lésbicas já sofreram com lésbicas confusas por aí….,neutro
Importante essa discussão 👏👏👏,positivo
É sobre✨,positivo
essa é a minha vida 😢,neutro
Isso mesmo 👏👏👏👏👏👏👏,positivo
eu quero,positivo
A extrema direita dando pitaco nas gírias gays é o cúmulo. 😮,neutro
Amei ❤️❤️❤️❤️❤️,positivo
@xandabittcarv olha só … decolonialidade linguistica 😍❤️,positivo
🙌❤️,positivo
Eu quero 😍😍,positivo
Babado essas respostas 👏👏👏,positivo
🔥❤️,positivo
Desde de sempre tentaram controlar a gente. O que a gente pode ou não ser ou fazer.,neutro
Eu quero! 🔥,positivo
Eu quero,positivo
Eu quero,positivo
Eu querooo,positivo
👏👏👏👏 arrasarammmmm VIVAM YS BOYCETAS!!!,positivo
Quero! 👏👏👏,positivo
Tudo ❤️,positivo
"que vídeo, amei! 🙌❤️",positivo
🔥❤️,positivo
eu quero,positivo
Caceta é usada a ânus! Eles já descobriram essa palavra 😂😂😂😂,odio
Adorei!!!,positivo
Muito massa!! 🔥,positivo
adorei ❤️❤️❤️❤️,positivo
Muito bom! 👏👏👏,positivo
eu quero,positivo
Eu quero!,positivo
Na minha questão esta palavra e um com texto usado com aquelas pessoas que tem conscientização de gêneros que leva algo normal  como aprendizado de uma forma saldavel  e divertida de expressar e como usar sobre uma sociedade de preconceitos em questão de fato e demostrado que se tem e algo natural de gostos,positivo
bom demais!,positivo
♥️♥️♥️ coisa mais linda brincar com as palavras. Viva a comunidade trans!,positivo
@cassio.kelm meu amigooo 🩷,positivo
Maravilhosa nossa escritora trans,positivo
👏👏👏❤️❤️,positivo
Respeito a identidade boyceta ❤️,positivo
Muito bommmm 👏,positivo
👏👏👏👏👏,positivo
👏👏👏,positivo
❤️🔥❤️,positivo
😍😍😍👏👏👏,positivo
❤️❤️❤️❤️❤️,positivo
Uau 👏🏽👏🏽👏🏽,positivo
😍😍😍😍😍,positivo
Eu quero,positivo
❤️❤️❤️,positivo
Esse vídeo é perfeito.,positivo
🔥🔥🔥,positivo
👏👏👏😍,positivo
Eu quero,positivo
"Que delícia de vídeo, amei dar meus pitacos sobre essa discussão 😍",positivo
Querooo,positivo
eu quero🌸,positivo
Quero ✨,positivo
Eu quero,positivo
Eu quero!!,positivo
Eu quero,positivo
Eu quero,positivo
Foi muito importante abordarem a questão da bifobia de mulheres lésbicas. É uma questão que atormenta mulheres bissexuais e é POUQUÍSSIMO discutida. A comunidade que deveria nos acolher é uma das que nos rejeita,positivo
Quero,positivo
Eu quero,positivo
Eu quero,positivo
Ei quero,positivo
Eu quero!,positivo
Querooo,positivo
eu querooo,positivo
E precisa entender pra respeitar um ser humano? O processo de autoconhecimento e autoaceitação é longo e para muitas e muitos muito dolorido. A meta de vida é ser feliz.,neutro
"Minha historia de lesbica pra bi foi bem parecida, entendo 100%",positivo
😂😂😂😂😂😂😂,odio
No final é ginecologista ou urologista,odio
Meu ovo 😂😂,odio
"Boyceta gay essa coisas aí, são a decepção do mundo,🤦🏼",odio
Termo de retardado. Em respeito aos demais.,odio
Boyceta é meu ovo porra,odio
falou falou e falou e eu não entendi boyceta nenhuma,odio
Kkkkkkkkkkkkkkkkkkkkkk,odio
"Boy era e meus ovosssss. Tu é homem e pronto. Agora o que tu gosta aí e outra história. Seu gosto ou escolhe pode ter o nome que quiser sem problema, mas no final de tudo tu é homem pronto. Frescura da peste isso.",odio
"é tão simples. Boyceta= homem com buceta. pronto simples assim, nenhuma novidade para a sigla da comunidade. Se vc sabe o que é uma pessoa trans ( literalmente todo mundo sabe oq é, a menos que seja leigo demais) então, logo vc sabe o que significa o termo "" boyceta"" e não ha nenhuma dificuldade nisso. Parem de fazer birra por algo que é totalmente desnecessário, pois todo mundo ja tem idade suficiente para entender o que significa um termo.",positivo
"Não existe isso de boyceta, isso é coisa de alguém que não sabe nem dizer oque é e achou nessa palavra uma maneira de lacrar",odio
Boyceta é minha caceta,odio
"Que cayceta, viu!?",odio
"Mano, entendi o termo boyceta! Não ter problema ou aversão ao órgão genital mas …

Como pode ser homem trans (que pra mim deveria só ser “homem” mesmo) e não binário?

No literal homem trans é ter um gênero e não binário, é somente ser uma pessoa, sem gênero!

Como isso?",neutro
Patético…,odio
"Falta do que fazer, criação do diabo isso ai",odio
"Isso não é característica sexual. É uma expressão de fetiche: sou homem trans e tenho bct. É feio, é brega e fora de moda. É o que eu penso. E o que eu penso é o que importa.",odio
Nem todas mulheres ou homens vão ser iguais. Não apoio nem condeno. Mas é possível q a pessoa não seja padrão. Não teremos só loira odonto nem macho alfa,neutro
Daqui a pouco aparece os pinceta e os cuceta 😂,odio
"É isso mesmo, todo meu apoio ao artista Júpiter #VAITERBOYCETASIM 👏🏽👏🏽👏🏽👏🏽👏🏽",positivo
"o maior problema que eu vi foi pessoas da própria comunidade que ironizam e fazem piada com outras identidades além de homem/mulher, é insuportável pessoas que sequer sabem o que é ser não binário querendo impor regras e leis em cima de algo completamente fluído, que é o gênero, e independente do termo que é usado pra descrever o a identidade de gênero de alguém, nada vai mudar, as únicas pessoas problematizando a situação são os cis hetero normativos",positivo
O Incrível é que esse termo já existe a tantoooo tempo. O povo não deixe os outros serem felizes!,positivo
Isso é uma vergonha pra nós seus rediculos,odio
Gente sem hate pergunta ingênua o que é boyceta? O que seria esse tipo de gênero?,neutro
"Existem homens e mulheres, o restante é gambiarra do diabo.",odio
✊🏽🩵🩷🤍🩷🩵,positivo
"Boyceta é meus ovo, vai trabalhar e para de encher o saco!",odio
Quanto maluco em uma publicação só kkkkkkkkk,odio
"Gente, minha mãe é psicologa do caps, disse que a boyceta fugiu e esta tendo alucinações, fiquem longe, essa doença é transmissível. A polícia já está procurando ela 🙌",odio
O que porra é boyceta? 😂 Eita mundão louco,odio
🏳️‍⚧️Vai pra cima!!!🏳️‍⚧️,positivo
Hahahahahahahahahahahaha,odio
"Isso é um Transforme não existe esse negócio de boyceta, ou é mulher ou é mulher que acha que homem ou homem ou homem que se acha mulher 😂😂😂😂",odio
Amei vc! Brilhe mais... S2,positivo
Que b💩sta,odio
"Boyceta é meus ovo, o que tu nao tem",odio
😂😂😂,odio
❤️🏳️‍⚧️,positivo
Alguém me explica o que é boyceta? É trans? Qual a diferença,neutro
"Kkkkkkkkkkkkkkkk carai, estamos perdidos",odio
😂😂😂😂 antigamente era difícil ser ga. Agora e esse pantinho de Lbgtamabaalansjsvz  kkkkk,odio
Total solidariedade a você Ju. Boycetas unidos 💪🏻🤝,positivo
"Arrasou, conheci e amei aprender com você 😍",positivo
👏👏👏👏👏👏,positivo
"mas na moral, sem querer tirar e nada, o q é uma boyceta?",neutro
👏👏👏,positivo
estou com vcs!,positivo
#boyceta,neutro
👏👏🏳️‍⚧️🏳️‍🌈,positivo
"Boyceta não existe, existe só 2 gêneros e variações de yags, tudo gambiarra.",odio
"@jupi77er ... aqui pra te dizer que NINGUÉM NOS CALARÁ, NEM à vc, nem o seu posicionamento, muito menos a sua identidade .  POR + PESSOAS COMO VC ... GUERREIRO.  EEEHH VC NÃO ESTÁ SÓ... TMJ . Bora informar,  esclarecer e colocar em PAUTA assuntos super relevantes como esse de ACEITAÇÃO, NATURALIDADE, LIBERDADE e AMOR.  POR NÓS, SOBRE NÓS e a FAVOR DE TDES. ❤️🏳️‍⚧️✊🏼🔥✨️🫡🏳️‍🌈👏🏽",positivo
❤️,positivo
@alvarengajubs,neutro
"Porque aquele deputadozinho fez comentários criminosos contra vc, estou aqui te seguindo e vim te apoiar ❤️",positivo
Boyceta é só um gatilho pra virar piada na Internet. Apaga isso,odio
As pessoas cis conservadoras nunca deixam pessoas trans em paz e impressionante o quanto eles são desocupados,positivo
"Kkkkkkkkk pessoas assim tem que ter acompanhamento não podem tomar decisões, isso foge da realidade! E quem ve coisa imaginaria é  o que ? Coisas que não existem ? É louco não tem condições de tomar decisões sérias e discernir o que é real ou mentira",odio
❤️❤️❤️❤️❤️,positivo
❤️❤️❤️,positivo
Boycetas exitem e continuarão existindo 🔥👋,positivo
"Força, companheires! Seguimos juntes! 🩷🩵🏳️‍⚧️🌈🏳️‍🌈",positivo
Kkkkkkkkkkkkkkkkkkkkkk,odio
"Termo muito nojento e nos resumi a isso. Tanta luta bonita no início de tudo, pra chegar aqui e ser isso?!? Kkkk Uns caras que querem respeito usando uma bosta de palavras que tá ligada a fetiche? Só abrir sites adultos que logo vemos, somos resumidos a um órgão e foda-se? Por isso que corro pra longe dessa comunidade nos dias de hoje, tem muita luta relevante e outras é um lixo que só",odio
"Eu não aguento mais, NÃO AGUENTO MAIS ver gente TRANS zoando o garoto que usa o termo boyceta. Os cis eu largo de mão mas OS PRÓPRIOS transgêneros estão falando besteira transfobica... Eu NÃO aguento mais, me faz mt mal pq tbm sou não binário.",positivo
Viva os Boyceta 👏,positivo
Kkkkkkkkkkkkkkk,odio
"Eu acho uma loucura essa galera da LGBTQIAPN+ que não aceita que alguém pode se identificar de outra forma. Cadê a liberdade de ser quem a gente quer ser? Força, Jupi 💜",positivo
"Pode detonar Boyceta, mas elae fica! Porque Arte é como ferro, tem que bater pra virar aço! ❤️❤️❤️❤️",positivo
"O povo se incomoda muito com a vida dos outros. Quando deixarem as pessoas viverem, será tudo tão melhor!!",positivo
Felicidade alheia incomoda muito,positivo
"boyceta sim, gostoso pra caralho....no genero que estiver é um tesao @jupi77er  ai ai...",positivo
"Boyceta é artístico, é estético, define cultura, tendência criativa, descritiva de gênero. Portanto válida e livre.",positivo
❤️👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽,positivo
Concordo  com vc,positivo
😂😂😂😂,odio
Tá repreendido satanás,odio
👏👏👏❤️,positivo
Não conhecia. Obrigado.,positivo
Viva os boycetas ❤️✨,positivo
Ainda bem que existe a direita pra combater essas bizarrices… 🤦🏽‍♂️,odio
Q merda.,odio
O tanto de trabalho que o psiquiatra desse povo tem,odio
vai lavar uma louça vai,odio
tá faltando lavar um louça,odio
"kkkkkkkkkkkkkkkkkk q povo esquizofrênico. Quanto mais o tempo passa, mas eu quero me ver livre dessa ""comunidade"" esquizo",odio
"Quero o discurso de ódio que engaja, cadê?",odio
Vai c4g4,odio
Vai carpi um lote,odio
Não são piada e nem orgulho para o povo brasileiro.,odio
Ri di cu lo,odio
E esse bigode maior q o meu,odio
Tem que botar pra bater uma lage um desempregado desse,odio
Meu Deus  vcs já não sabem o q ué são!  Já está ficando ridículo  isso !,odio
❤️❤️,positivo
É cada termo que o dicionário está ficando louco 😂😂😂,odio
😂😂😂😂,odio
"E agora a @lunaventurac resolveu aproveitar pra atacar pessoas gênero-fluido e de acordo com ela qualquer um que discordar da opinião dela de que ""gênero-fluido não existe"" é automaticamente cis. Sempre foi difícil, mas agora parece que os ataques vem de todos os lados pra comunidade trans",positivo
😂😂😂😂,odio
“Boyceta” kkkkkkkkkkkkkkkkkkkkkkkkkkk os cara tem uma criatividade do caralho mano,odio
Extrema direita ? Acho que a humanidade não sabe oq é boyceta kkkkkkkkk,odio
Jogar uma carteira de trabalho tu sai correndo né,odio
Mas que porr4 é essa? 😂😂😂,odio
porra de boyceta,odio
"Vão procurar um trabalho, falta do que fazer do carai 😂",odio
Boyceta😂😂😂😂😂😂,odio
Aplausos 👏👏👏👏👏👏👏👏,positivo
"GIRLPAUS, GIRLPICAS E GIRLPIROCAS TBM EXISTEM! NOS RESPEITEM!!!",odio
😴😴😴😴😴😴😴😴😴😴,odio
Vai capinar um lote cabra sem vergonha,odio
Isso faz ridicularizar a classe toda! Doença,odio
😂😂😂😂😂,odio
Sou boypiroka 🔥👏,odio
Vira homem,odio
"Uma pergunta, se tem boycetas também tem girlpenis?",odio
O que é boyceta?,neutro
"Vocês saem nas ruas??? Vocês tem família?? Pqp, são fora da realidade",odio
Kkkkkkkkkkkkkkk,odio
Concordo plenamente. É necessário bloquear e deletar.,positivo
"pelo jeito hoje você acordou se sentindo uma lapiseira, os grandes poetas perdem pra você, medo de você acordar um uc amanhã e falar mais merda kkkkkkkkkkkkk",odio
👏👏👏 foi extremamente cirúrgico,positivo
Belo stand up,odio
"Cara cada vez mais me apavoro pro caminho que essas pessoas tão indo! Caramba é cada besteira que vcs falam, que no final nem vcs próprios se entendem kkkkkk",odio
ovo,odio
Calado é um poeta,odio
🤣🤣🤣🤣,odio
Vão procurar o q fazer seus esquisitos,odio
Vergonha da comunidade L.G.B.T,odio
Tudo isso pq não teve pai 😂,odio
O que a falta de um pai faz 😂,odio
😂😂😂😂😂😂😂😂😂😂,odio
😂😂😂😂,odio
Até agora ninguém conseguiu explicar o que é Boyceta,odio
"Cancela a internet... Infelizmente, da voz para esse povo",odio
Vocês tem mto é boysta na cabeça kkk,odio
🤦🏻‍♂️ é cada uma viu,odio
Eu sou boypica amigues 😂😂😂😂😂😂😂😂😂😂,odio
Falou tudo 🔥🔥,positivo
👏👏👏👏,positivo
"Joga uma carteira de trabalho nesse ""Ser"" é isso que tá faltando uma roça de juquira pra acabar com essa merda.",odio
😂😂😂😂😂,odio
"Kkkkkkkkkkkkkkkkkkkk até quem é de esquerda acha piada, para com essa historinha de ""extrema direita""... 😂😂😂",odio
Isso é uma piada. Com tanto problema pra resolver. As pessoas estão inventando gênero,odio
Orgulho dos pais,odio
Não somos piada,positivo
"Eu nunca tinha ouvido esse termo como identidade!! Assim, pessoalmente, acho q a comunidade já tem uma luta tão difícil em mostrar pras pessoas q LGBTQIAPN+ são pessoas inteiras e n apenas um órgão se.xual, q esse termo parece um tiro no pé nesse sentido. PORÉM, se há pessoas q se identificam assim, todo o poder pra elas ✊🏼🔥 fogo no parquinho, mores 🙌",positivo
Ninguém é piada para ninguém! Lamentável a situação e criminosa!!!,positivo
"Cara, vai estudar, trabalhar. Achar o que fazer.",odio
maravilhose,positivo
perfeitamente explicado 👏,positivo
🫂❤️‍🩹🫶🏳️‍⚧️,positivo
!!!!,neutro
Fyyyyy,neutro
!!!!,neutro
Upupupup,neutro
Fyyyyy,neutro
Upupupup,neutro
Respeita os boycetas!!!,positivo
#naoatransfobia✋🌈 #boyceta 👏👏👏👏,positivo
O ódio todo só nos anima a produzir mais conteúdo no podcast 🔥 sentiram!,positivo
como eh bom ouvir ele né gente,positivo
a verdadeira piada é ter que exigir o direito da livre expressão de gênero sem ter que sofrer tanto ódio gratuito em pleno 2024!!! transfobia é crime hein.,positivo
"A identidade existe há tempos e é exercida por nós livremente. Agora querem fazer chacota e inventar que isso enfraquece alguma luta? A vida das minorias não enfraquece NENHUMA luta de nenhuma minoria. É a cisnormatividade, é replicar a lógica e o discurso excludente que enfraquece a busca pela garantia de direitos e dignidade de todas as pessoas. Não é porque não é sua identidade que não merece respeito.",positivo
O tanto de gæ cis que eu tô vendo fazendo chacota com transmasculino por causa dessa polêmica boba,neutro
Transfobia não é piada! É crime,positivo
"Isso é inadmissível, usar nossa pauta como pânico moral!",positivo
Algoritmo eu te odeio!,odio
Caralhooooo que porcaria 🤣🤣🤣,odio
NOJO,odio
Coisa estranha,odio
Falta de surra 😂😂😂,odio
Ainda bem que obesidade mata né sksksksk,odio
"Quando penso que vi tudo eis que aparece um extraterreste boyceta ou que caralho é a identificar-se de cagalhão 🤣🤣 para quem gosta de merda saiu aqui um belo prato 🤦‍♂️ fazer o quê? Uma pá resolvia muito problema, era só tacar 🔥 em toda esta bandalheira 🤣",odio
Quem se importa?,odio
E por esses tipos que a luta trans está se tornando marginalizada... Pessoas sem noção. Enfim pessoas confusas ferram a luta dos outros.,odio
Sodoma e Gomorra está perdendo feio para esse mundo atual. Que preguiça desse tipo de coisa!!!,odio
Só agradeço! Só o poder! 🔥🔥,positivo
"Realmente você disse tudo, UM FENOMENO FABRICADO nada além disso maluquice pura😢",odio
"Alguém explica o q é não binário pra elo, pq elo está se contradizendo kkkkk",odio
Ainda bem que apanhei quando eu era criança,odio
"o meu pai, essas pessoas que sujam o nome da comunidade. Como que o cara consegue ser transmasc, gênero fluido e não binário ao mesmo tempo? Sla sabe.......",odio
🤣🤣🤣🤣🤣🤣🤣🤣🤣,odio
Eu me pergunto. Sera que o Apocalipse vai demorar muito?,odio
Só censurando comentários pra passar batido essa ab3rração,odio
👏👏👏👏👏👏👏👏👏,positivo
"Torcendo pra Jesus voltar logo,pq vai saber onde vamos parar desse jeito !",odio
"O apocalipse antigamente era um medo, agora é uma esperança",odio
"Eu me indentifico como uma RTX 4090,algum problema?",odio
Kkkkkk,odio
"O troço mexe e o bolo de banh4 vai junto, credo",odio
Acho os trans muito corajosos. Dá trabalho fazer a transição. É um processo diário. É ridículo achincalhar.,positivo
"Sei lá porque apareceu essa merdha pra mim, parece que tô bebado,não entendi nada",odio
"Perdidos e desequilibrados,  não se aceitam  e o pior dizem que temos que aguentar, respeitar, mas não respeitam quem é contra. Mulher olha no espelho, se ame, se cuide",odio
Isso fugiu de qual hospício,odio
Onde o disco voador pousou ??😂😂,odio
Pode cair novamente meteoro e causar a extinção !!,odio
Até minha cachorra chora de tanta M E R D @ !,odio
"Até ontem ninguém sabia que isso existia, só existe 2 Gênero nao tenta inventar não 
@nikolasferreiradm  @lucaspavanato",odio
Eu quero,positivo
"Meu amor, seja o que você quiser serrrrrr! Seja feliz sempre!!!!!!!!",positivo
Eu jurando que era standap! 😂😂,odio
Esse quer aparecer mesmo! Bota uma melancia na cabeça fera!,odio
Tenho pena é da professora cancelada por ensinar regras de português,odio
Hahahahahahahahha,odio
Que b💩sta,odio
😂😂😂😂,odio
"boyceta oq, ta mais pra mc betoneira a diesel",odio
@nikolasferreiradm corre aqui😂,odio
😂😂😂,odio
Boyceta kkkkkkkkkkkkkk eu fico impressionado é com a criatividade 😂😂😂,odio
Vc calada é um poeta.,odio
Fluido refrigerante????,odio
Boyceta é complicado akakka,odio
Logo logo aparece girlroleta!😂😂😂😂,odio
"Você ta certissima 
Errado foi o psiquiatra que deu alta",odio
Você é o Beti Clarão?,odio
Boyceta 🤣🤣🤣🤣🤣🤣🤣 você é mulher seu no e não é Júpiter você pode correr pode tentar fugir invetaar tudo isso mais no fim vc é  apenas um mulher,odio
Vou nem comentar pois o presidente de vocês está censurando é tudo kkkkkkkkk,odio
"O IMPORTANTE É SER DO BEM E VOCÊ É DO BEM,  O LADO QUE TE CRITICA , É O MESMO LADO QUE SE POSICIONOU A FAVOR DA ESCRAVIDÃO,  DA TORTURA E DO FIM DOS DIREITOS TRABALHISTAS ... AO INFERNO COM ELES ... NÃO PASSARÃO.",positivo
Saudades da época sem essas palhaçada na internet,odio
"Agora vou falar uma coisa que minha comunidade que sempre lutei e sempre dei tudo de mim. O povo da própria comunidade fazendo preconceito com outros elementos da causa.... Aí quando sofrer preconceito reclama ahahha... Muita gente acha que a gente é aberração ainda tá, nunca se esqueçam disso 🙂 da próxima vez que fizerem preconceito com alguém da comunidade lembrem-se de todas as vezes que choraram de todas as vezes que apanharam na escola... Que alguém te chamou de aberração na rua 😢",positivo
A Nicole devia ir trabalhar e deixar a sexu@lidade alheia em paz 😌,positivo
😂😂😂😂😂😂 que merda,odio
😂😂😂,odio
a carência faz a pessoa fazer cada coisa !,odio
"Acabei te conhecer @jupi77er e adorei o seu nome tbm que pelo jeito e de nascença. Resumindo ganhou um admirador! Sendo fluido, fluida boyceta minaceta bixa, eles deles ela dela her",positivo
Me desculpe a ignorância! Mais eu não sei o q é boyceta,neutro
É cada coisa que a gente ver nesse Instagram !!!,odio
❤️,positivo
Vcs complicam tude🥴,odio
🤢,odio
É menine ou meninix?,odio
😂😂😂😂😂😂😂,odio
KKKKKKKKKKKKKKKKK FEIO DEMAIS,odio
Como queria ter um advogado,odio
Meu ovos todes kkkkk,odio
Boiceta o meu cacete kkkk,odio
Falou muito e falou só bosta 👏😍,odio
😂kkkk,odio
"Deveria ter g0zad0 na cara , disse o pai",odio
🌈🌈🌈🌈🌈🏖🏖🏖🏖🏖🏖🏖🏖🏖🏖🏖,positivo
Kkkkkkkkk que porra é isso,odio
Essa raça não tem oque inventa,odio
Isso é falta de ro lá no meio do rã bo !,odio
Doentes,odio
"Em meio a tantos comentários maldosos, eu só espero que lembre de respirar, beber água, receba um abraço virtual... Logo logo isso passa... Vc é mais que isso...",positivo
Apocalipse deixou de ser medo e passou a ser esperança,odio
"🔥 seja como for. Beijas Júp, tamo juntes",positivo
Obrigade por ser tão Necessarie 👏🏻👏🏻,positivo
Desver,odio
"O que chamam de identitarismo é só os direitos básicos sendo aplicados a todo mundo. É segurança pública e, às vezes, direitos humanos. Mas garantir esses direitos a todo mundo não é o que querem, muitas vezes",positivo
O que o excesso de liberdade causa...,odio
Que vexame kkkkkkkkkk,odio
Kkkkkkkkkkkkkkk ganhou os 5 minutos de fama que ele/ela/nos/ vos/eles queria! Da nem pra saber como chamar 🫠,odio
Jupitter ? Ta mais pra Saturno 🤣🤣🤣,odio
"Aiai, viu. Só força. Acredito que você tenha sido mal interpretado naquela fala que viralizou, a princípio fiquei bolada porque o termo por si só é uó, não entrega nada e cai num lugar de chacota. Mas é isso, depois de assistir seu conteúdo entendi melhor seu ponto e espero que fique tudo bem.",positivo
Saudade dos anos 90,odio
Keiçuuérrrixxootããnññ,odio
Loucura total,odio
kkkkkkkk boyceta,odio
"não é engraçado como todos temos que nos moldar de acordo com o povo da coitadolândia? A realidade e materialidade sendo vistas de maneira pejorativa em prol de “sentimento” virou moda, falar a verdade é transfobia, discordar dessa insanidade é “ser de direita”. Esse discurso não cola mais. Jupiter, espero que um dia você entenda que negar o seu sexo só vai te trazer infelicidade e quem valida a sua disforia e diz que tá realmente tudo de errado com você e por isso você deve ser toda essa mistureba de coisas insanas, não está do seu lado, estão mentindo pra você e você está mentindo pra você mesma.",odio
Falta de boyrola isso sim,odio
R.i.di.cu.l.o,odio
Vergonha pra comunidade L.G.B.T,odio
Vergonha pra comunidade LGBT,odio
🤣🤣🤣🤣🤣🤣🤣,odio
Oque é um boyceta?,neutro
A maior piada é ver os heterosnormativos descobrindo que nosso planeta é plural e não somente heterossexual,positivo
O que é boyceta? Sério 😮,neutro
Nossa a página eh um sucesso em...tem mtos seguidores 😂😂😂😂😂😂😂 isso chega a ser melhor q stand up,odio
Jesus volta logo 😢,odio
"Mesmo assim, vai se consultar com um ginecologista 😂",odio
"Qual a dificuldade de explicar o que significa ""boyceta""? Que frescura",odio
O que são? Onde vivem? Do que se alimentam? Alguma dúvida que ET existe?,odio
"Simplificando: existem dois tipos de transgênero – os binários (como as mulheres trans, que foram designadas homens no nascimento, mas não se identificam como tal) e os não binários (como os genderfluid, que podem ter sido designados como menina ou menino nascimento, mas não se identificam nem com um gênero.",neutro
"@luciana_cavalcanti_real ai amigo não sou seu professor não, joga no Google, exercita o cérebro, ou então vê mais conteúdo de Jupiter",neutro
Hum... me deu preguiça essa discussão.,odio
LIXOSOOOOOOOOO,odio
O hospício que vc fugiu já está chegando na sua porta aí com camisa de força 😂😂😂😂😂#nikolasferreiraomelhordobrasil.,odio
Mistura de capeta com demônio 👿😂😂😂😂,odio
